이름,가격,연식,주행거리,연료,배기량,연비,구동방식,최대토크,보험이력등록,제조사,마력,보증여부
YF쏘나타 2.0,3200000,155,99337,LPG,1998,10.5,전륜 FF,20,등록,현대,157,0
YF쏘나타 2.0,2590000,147,109660,가솔린,1998,12.8,전륜 FF,20.2,등록,현대,165,0
YF쏘나타 2.0,3500000,135,128318,LPG,1998,10.5,전륜 FF,20,등록,현대,157,0
LF쏘나타 2.0,6900000,100,47000,LPG,1999,9.6,전륜 FF,19.8,등록,현대,151,0
LF쏘나타 2.0,9900000,100,113000,가솔린,1999,12.1,전륜 FF,20.5,등록,현대,168,0
LF쏘나타 2.0,10900000,88,127000,가솔린,1999,12.1,전륜 FF,20.5,등록,현대,168,0
LF쏘나타 2.0,12890000,73,64000,LPG,1999,9.6,전륜 FF,19.8,등록,현대,151,0
쏘나타 하이브리드,25900000,46,81000,기타,1999,19.1,전륜 FF,27,등록,현대,195,1
LF쏘나타 2.0,8990000,104,117070,가솔린,1999,12.1,전륜 FF,20.5,등록,현대,168,0
쏘나타 2.0,13990000,41,110579,가솔린,1999,12.9,전륜 FF,20,등록,현대,160,1
YF쏘나타 2.0,4900000,151,116126,가솔린,1998,14,전륜 FF,20.5,등록,현대,172,0
LF쏘나타 2.0,7990000,89,109235,가솔린,1999,12.1,전륜 FF,20.5,등록,현대,168,0
LF쏘나타 2.0,7900000,106,93881,가솔린,1999,12.1,전륜 FF,20.5,등록,현대,168,0
쏘나타 더 브릴리언트,4990000,132,110424,가솔린,1999,14,전륜 FF,20.5,등록,현대,172,0
LF쏘나타 1.7,9900000,96,120739,디젤,1685,16.5,전륜 FF,34.7,등록,현대,141,0
YF쏘나타 2.0,4500000,166,136830,LPG,1998,10.5,전륜 FF,20,등록,현대,157,0
LF쏘나타 2.0,6990000,86,156784,가솔린,1999,12.1,전륜 FF,20.5,등록,현대,168,0
쏘나타 2.0,15990000,42,88373,LPG,1999,9.5,전륜 FF,19.5,등록,현대,146,1
LF쏘나타,10200000,62,141231,LPG,1999,9.5,전륜 FF,19.8,미등록,현대,151,0
쏘나타 하이브리드,28800000,25,65000,기타,1999,19.1,전륜 FF,27,등록,현대,195,1
YF쏘나타 2.0,5400000,142,164578,가솔린,1998,12.8,전륜 FF,37.1,등록,현대,271,0
쏘나타 뉴 라이즈,11400000,56,87003,LPG,1999,9.4,전륜 FF,19.8,등록,현대,151,1
NF쏘나타 트랜스폼,1700000,178,115000,LPG,1998,9,전륜 FF,19,등록,현대,141,0
YF쏘나타,3900000,154,137000,가솔린,1998,14,전륜 FF,20.5,미등록,현대,172,0
LF쏘나타,14500000,87,62224,가솔린,1998,10.8,전륜 FF,36,미등록,현대,245,0
쏘나타 뉴 라이즈,14500000,57,54649,LPG,1999,9.5,전륜 FF,19.8,등록,현대,151,0
LF쏘나타 2.0,6300000,103,220500,LPG,1999,9.6,전륜 FF,19.8,등록,현대,151,0
쏘나타 1.6,19900000,27,59352,가솔린,1598,13.2,전륜 FF,27,등록,현대,180,1
LF쏘나타 2.0,14990000,88,53000,LPG,1999,9.6,전륜 FF,19.8,등록,현대,151,0
LF쏘나타 2.0,14500000,84,47866,가솔린,1999,12.6,전륜 FF,20.5,등록,현대,168,0
LF쏘나타 하이브리드,14400000,88,117828,기타,1999,12,전륜 FF,36,등록,현대,203,0
LF쏘나타,9990000,95,110528,가솔린,1999,12.6,전륜 FF,20.5,등록,현대,168,0
쏘나타 뉴 라이즈,10000000,46,201920,LPG,1999,9.4,전륜 FF,19.8,등록,현대,151,0
쏘나타 하이브리드,8990000,144,118546,기타,1999,21,전륜 FF,18.3,미등록,현대,150,0
LF쏘나타,11200000,85,100877,가솔린,1999,12.1,전륜 FF,20.5,미등록,현대,168,0
쏘나타,17890000,45,89909,LPG,1999,10.3,전륜 FF,19.5,등록,현대,146,1
NF쏘나타 2.0,1650000,197,207500,LPG,1998,12,전륜 FF,36,등록,현대,203,0
쏘나타,21000000,41,66700,가솔린,1999,12.9,전륜 FF,20,미등록,현대,160,1
NF쏘나타 트랜스폼,2500000,175,165000,LPG,1998,9,전륜 FF,19,등록,현대,141,0
